# GeoNames first-order administrative divisions — admin1CodesASCII.txt
# Source: https://download.geonames.org/export/dump/admin1CodesASCII.txt
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Vendored so data/cities.js regenerates without a network call, and so
# the region on a record is looked up rather than inferred.
# Columns: <country>.<adminCode>  <name>  <asciiName>  <geonameId>
AD.06	Sant Julià de Loria	Sant Julia de Loria
AO.02	Bié	Bie
AO.01	Benguela	Benguela
AR.14	Misiones	Misiones
AR.09	Formosa	Formosa
AR.07	Buenos Aires F.D.	Buenos Aires F.D.
AR.08	Entre Rios	Entre Rios
AR.06	Corrientes	Corrientes
AR.01	Buenos Aires	Buenos Aires
AR.24	Tucumán	Tucuman
AR.23	Tierra del Fuego	Tierra del Fuego
AR.22	Santiago del Estero	Santiago del Estero
AR.21	Santa Fe	Santa Fe
AR.20	Santa Cruz	Santa Cruz
AR.19	San Luis	San Luis
AR.18	San Juan	San Juan
AR.17	Salta	Salta
AR.16	Rio Negro	Rio Negro
AR.15	Neuquen	Neuquen
AR.13	Mendoza	Mendoza
AR.12	La Rioja	La Rioja
AR.11	La Pampa	La Pampa
AR.10	Jujuy	Jujuy
AR.05	Cordoba	Cordoba
AR.04	Chubut	Chubut
AR.03	Chaco	Chaco
AR.02	Catamarca	Catamarca
AS.050	Western District	Western District
AS.040	Swains Island	Swains Island
AS.010	Eastern District	Eastern District
AS.020	Manu'a	Manu'a
AS.030	Rose Island	Rose Island
AT.09	Vienna	Vienna
AT.08	Vorarlberg	Vorarlberg
AT.07	Tyrol	Tyrol
AT.06	Styria	Styria
AT.05	Salzburg	Salzburg
AT.04	Upper Austria	Upper Austria
AT.03	Lower Austria	Lower Austria
AT.02	Carinthia	Carinthia
AT.01	Burgenland	Burgenland
AU.08	Western Australia	Western Australia
AU.05	South Australia	South Australia
AU.03	Northern Territory	Northern Territory
AU.07	Victoria	Victoria
AU.06	Tasmania	Tasmania
AU.04	Queensland	Queensland
AU.02	New South Wales	New South Wales
AU.01	Australian Capital Territory	Australian Capital Territory
AX.211	Mariehamns stad	Mariehamns stad
AX.212	Ålands landsbygd	Alands landsbygd
AX.213	Ålands skärgård	Alands skaergard
AZ.12	Beyləqan	Beylaqan
AZ.69	Zǝngilan	Zangilan Rayon
AZ.66	Yardımlı	Yardimli
AZ.55	Şuşa	Susa
AZ.49	Salyan	Salyan
AZ.46	Sabirabad	Sabirabad
AZ.45	Saatlı	Saatli
AZ.13	Bilǝsuvar	Bilasuvar Rayon
AZ.36	Neftçala	Neftcala
AZ.35	Nakhichevan	Nakhichevan
AZ.32	Masally	Masally
AZ.31	Lerik	Lerik
AZ.29	Lənkəran	Lankaran
AZ.28	Laçın	Lacin
AZ.43	Qubadlı	Qubadli
AZ.24	İmişli	Imisli
AZ.18	Füzuli	Fuezuli
AZ.14	Cǝbrayıl	Cabrayil Rayonu
AZ.15	Jalilabad	Jalilabad
AZ.08	Astara	Astara
AZ.64	Xocalı	Xocali
AZ.02	Ağcabǝdi	Aghjabadi Rayon
AZ.03	Ağdam	Agdam
AZ.07	Shirvan	Shirvan
AZ.30	Lankaran Sahari	Lankaran Sahari
AZ.56	Şuşa Şəhəri	Shusha
AZ.57	Tǝrtǝr	Tartar Rayon
AZ.61	Xankǝndi	Xankandi Sahari
AZ.65	Xocavǝnd	Xocavand Rayonu
AZ.71	Zərdab	Zardab
AZ.70	Zaqatala	Zaqatala
AZ.67	Yevlax	Yevlax
AZ.37	Oğuz	Oguz
AZ.59	Ucar	Ucar
AZ.58	Tovuz	Tovuz
AZ.50	Şamaxı	Samaxi
AZ.47	Şǝki	Shaki Rayon
AZ.51	Şǝmkir	Shamkir Rayon
AZ.27	Kürdǝmir	Kurdamir Rayon
AZ.38	Qǝbǝlǝ	Qabala Rayon
AZ.44	Qusar	Qusar
AZ.42	Quba	Quba
AZ.62	Goygol Rayon	Goygol Rayon
AZ.60	Xaçmaz	Xacmaz
AZ.26	Kǝlbǝcǝr	Kalbacar Rayonu
AZ.40	Qazax	Qazax
AZ.21	Goranboy	Goranboy
AZ.39	Qǝx	Qakh Rayon
AZ.25	İsmayıllı	Ismayilli
AZ.22	Göyçay	Goeycay
AZ.17	Shabran	Shabran
AZ.16	Daşkǝsǝn	Dashkasan Rayon
AZ.10	Balakǝn	Balakan Rayon
AZ.11	Bǝrdǝ	Barda Rayon
AZ.09	Baki	Baki
AZ.01	Abşeron	Abseron
AZ.06	Ağsu	Agsu
AZ.04	Ağdaş	Agdas
AZ.19	Gǝdǝbǝy	Gadabay Rayon
AZ.05	Ağstafa	Agstafa
AZ.20	Gǝncǝ	Ganja City
AZ.33	Mingǝcevir	Mingacevir City
AZ.34	Naftalan	Naftalan
AZ.41	Qobustan	Qobustan
AZ.52	Samux	Samux
AZ.48	Shaki City	Shaki City
AZ.53	Siyǝzǝn	Siazan Rayon
AZ.54	Sumqayit	Sumqayit
AZ.63	Xızı	Xizi
AZ.68	Yevlax City	Yevlax City
AZ.23	Hacıqabul	Haciqabul
AZ.75	Naxçıvan Şəhəri	Naxcivan Sahari
BA.01	Federation of Bosnia and Herzegovina	Federation of Bosnia and Herzegovina
BA.02	Republika Srpska	Republika Srpska
BA.BRC	Brčko	Brcko
BB.11	Saint Thomas	Saint Thomas
BB.10	Saint Philip	Saint Philip
BB.09	Saint Peter	Saint Peter
BB.08	Saint Michael	Saint Michael
BB.07	Saint Lucy	Saint Lucy
BB.06	Saint Joseph	Saint Joseph
BB.05	Saint John	Saint John
BB.04	Saint James	Saint James
BB.03	Saint George	Saint George
BB.02	Saint Andrew	Saint Andrew
BB.01	Christ Church	Christ Church
BD.83	Rājshāhi	Rajshahi
BD.81	Dhaka	Dhaka
BD.84	Chittagong	Chittagong
BD.82	Khulna	Khulna
BD.85	Barisāl	Barisal
BD.86	Sylhet	Sylhet
BD.87	Rangpur Division	Rangpur Division
BE.BRU	Brussels Capital	Brussels Capital
BE.WAL	Walloon	Walloon
BE.VLG	Flemish	Flemish
BF.01	Boucle du Mouhoun	Boucle du Mouhoun
BF.02	Cascades	Cascades
BF.03	Centre	Centre
BF.04	Centre-Est	Centre-Est
BF.05	Centre-Nord	Centre-Nord
BF.06	Centre-Ouest	Centre-Ouest
BF.07	Centre-Sud	Centre-Sud
BF.08	Est	Est
BF.09	High-Basins	High-Basins
BF.10	Nord	Nord
BF.11	Plateau-Central	Plateau-Central
BF.12	Sahel	Sahel
BF.13	Southwest	Southwest
BG.52	Razgrad	Razgrad
BG.47	Montana	Montana
BG.64	Vratsa	Vratsa
BG.61	Varna	Varna
BG.40	Dobrich	Dobrich
BG.58	Sofiya	Sofiya
BG.53	Ruse	Ruse
BG.51	Plovdiv	Plovdiv
BG.50	Pleven	Pleven
BG.49	Pernik	Pernik
BG.48	Pazardzhik	Pazardzhik
BG.46	Lovech	Lovech
BG.43	Khaskovo	Khaskovo
BG.42	Sofia-Capital	Sofia-Capital
BG.39	Burgas	Burgas
BG.38	Blagoevgrad	Blagoevgrad
BG.41	Gabrovo	Gabrovo
BG.44	Kŭrdzhali	Kurdzhali
BG.45	Kyustendil	Kyustendil
BG.54	Shumen	Shumen
BG.55	Silistra	Silistra
BG.56	Sliven	Sliven
BG.57	Smolyan	Smolyan
BG.59	Stara Zagora	Stara Zagora
BG.60	Tŭrgovishte	Turgovishte
BG.62	Veliko Tŭrnovo	Veliko Turnovo
BG.63	Vidin	Vidin
BG.65	Yambol	Yambol
BH.15	Muharraq	Muharraq
BH.16	Manama	Manama
BH.17	Southern Governorate	Southern Governorate
BH.18	Central Governorate	Central Governorate
BH.19	Northern	Northern
BI.17	Makamba	Makamba
BI.10	Bururi	Bururi
BI.22	Muramvya	Muramvya
BI.13	Gitega	Gitega
BI.21	Ruyigi	Ruyigi
BI.11	Cankuzo	Cankuzo
BI.14	Karuzi	Karuzi
BI.09	Bubanza	Bubanza
BI.12	Cibitoke	Cibitoke
BI.19	Ngozi	Ngozi
BI.15	Kayanza	Kayanza
BI.18	Muyinga	Muyinga
BI.16	Kirundo	Kirundo
BI.20	Rutana	Rutana
BI.23	Mwaro	Mwaro
BI.24	Bujumbura Mairie	Bujumbura Mairie
BI.25	Bujumbura Rural	Bujumbura Rural
BJ.18	Zou	Zou
BJ.16	Quémé	Queme
BJ.15	Mono	Mono
BJ.10	Borgou	Borgou
BJ.09	Atlantique	Atlantique
BJ.08	Atakora	Atakora
BJ.07	Alibori	Alibori
BJ.11	Collines	Collines
BJ.12	Kouffo	Kouffo
BJ.13	Donga	Donga
BJ.14	Littoral	Littoral
BJ.17	Plateau	Plateau
BM.11	Warwick	Warwick
BM.10	Southampton	Southampton
BM.09	Smithʼs	Smith's Parish
BM.08	Sandys	Sandys
BM.07	Saint Georgeʼs	Saint George's Parish
BM.06	Saint George	Saint George
BM.05	Pembroke	Pembroke
BM.04	Paget	Paget
BM.02	Hamilton	Hamilton
BM.03	Hamilton city	Hamilton city
BM.01	Devonshire	Devonshire
BN.04	Tutong	Tutong
BN.03	Temburong	Temburong
BN.02	Brunei and Muara	Brunei and Muara
BN.01	Belait	Belait
BO.09	Tarija	Tarija
BO.08	Santa Cruz	Santa Cruz
BO.07	Potosí	Potosi
BO.06	Pando	Pando
BO.05	Oruro	Oruro
BO.04	La Paz	La Paz
BO.02	Cochabamba	Cochabamba
BO.01	Chuquisaca	Chuquisaca
BO.03	El Beni	El Beni
BQ.BO	Bonaire	Bonaire
BQ.SB	Saba	Saba
BQ.SE	Sint Eustatius	Sint Eustatius
BR.22	Rio Grande do Norte	Rio Grande do Norte
BR.20	Piauí	Piaui
BR.30	Pernambuco	Pernambuco
BR.17	Paraíba	Paraiba
BR.16	Pará	Para
BR.13	Maranhão	Maranhao
BR.06	Ceará	Ceara
BR.03	Amapá	Amapa
BR.02	Alagoas	Alagoas
BR.28	Sergipe	Sergipe
BR.27	São Paulo	Sao Paulo
BR.26	Santa Catarina	Santa Catarina
BR.23	Rio Grande do Sul	Rio Grande do Sul
BR.21	Rio de Janeiro	Rio de Janeiro
BR.18	Paraná	Parana
BR.15	Minas Gerais	Minas Gerais
BR.11	Mato Grosso do Sul	Mato Grosso do Sul
BR.14	Mato Grosso	Mato Grosso
BR.29	Goiás	Goias
BR.07	Federal	Federal
BR.08	Espírito Santo	Espirito Santo
BR.05	Bahia	Bahia
BR.31	Tocantins	Tocantins
BR.25	Roraima	Roraima
BR.04	Amazonas	Amazonas
BR.01	Acre	Acre
BR.24	Rondônia	Rondonia
BS.35	San Salvador	San Salvador
BS.18	Ragged Island	Ragged Island
BS.32	Berry Islands	Berry Islands
BS.23	New Providence	New Providence
BS.16	Mayaguana	Mayaguana
BS.15	Long Island	Long Island
BS.13	Inagua	Inagua
BS.22	Harbour Island	Harbour Island
BS.25	Freeport	Freeport
BS.10	Exuma	Exuma
BS.06	Cat Island	Cat Island
BS.05	Bimini	Bimini
BS.24	Acklins	Acklins
BS.36	Black Point	Black Point
BS.37	Central Abaco	Central Abaco
BS.38	Central Andros	Central Andros
BS.39	Central Eleuthera	Central Eleuthera
BS.40	Crooked Island and Long Cay	Crooked Island and Long Cay
BS.41	East Grand Bahama	East Grand Bahama
BS.42	Grand Cay	Grand Cay
BS.43	Hope Town	Hope Town
BS.44	Mangrove Cay	Mangrove Cay
BS.45	Moore’s Island	Moore's Island
BS.46	North Abaco	North Abaco
BS.47	North Andros	North Andros
BS.48	North Eleuthera	North Eleuthera
BS.49	Rum Cay	Rum Cay
BS.50	South Abaco	South Abaco
BS.51	South Andros	South Andros
BS.52	South Eleuthera	South Eleuthera
BS.53	Spanish Wells	Spanish Wells
BS.54	West Grand Bahama	West Grand Bahama
BT.05	Bumthang	Bumthang
BT.06	Chhukha	Chhukha
BT.08	Daga	Daga
BT.07	Chirang	Chirang
BT.09	Geylegphug	Geylegphug
BT.10	Ha	Ha
BT.11	Lhuntshi	Lhuntshi
BT.12	Mongar	Mongar
BT.13	Paro	Paro
BT.14	Pemagatsel	Pemagatsel
BT.15	Punakha	Punakha
BT.16	Samchi	Samchi
BT.17	Samdrup Jongkhar	Samdrup Jongkhar
BT.18	Shemgang	Shemgang
BT.19	Tashigang	Tashigang
BT.20	Thimphu	Thimphu
BT.21	Tongsa	Tongsa
BT.22	Wangdi Phodrang	Wangdi Phodrang
BT.23	Gasa	Gasa
BT.24	Trashi Yangste	Trashi Yangste
BW.10	Southern	Southern
BW.09	South East	South East
BW.08	North East	North East
BW.11	North West	North West
BW.06	Kweneng	Kweneng
BW.05	Kgatleng	Kgatleng
BW.04	Kgalagadi	Kgalagadi
BW.03	Ghanzi	Ghanzi
BW.01	Central	Central
BY.07	Vitebsk	Vitebsk
BY.06	Mogilev	Mogilev
BY.05	Minsk	Minsk
BY.04	Minsk	Minsk
BY.03	Grodnenskaya	Grodnenskaya
BY.02	Gomel	Gomel
BY.01	Brest	Brest
BZ.06	Toledo	Toledo
BZ.05	Stann Creek	Stann Creek
BZ.04	Orange Walk	Orange Walk
BZ.03	Corozal	Corozal
BZ.02	Cayo	Cayo
BZ.01	Belize	Belize
CA.01	Alberta	Alberta
CA.02	British Columbia	British Columbia
CA.03	Manitoba	Manitoba
CA.04	New Brunswick	New Brunswick
CA.13	Northwest Territories	Northwest Territories
CA.07	Nova Scotia	Nova Scotia
CA.14	Nunavut	Nunavut
CA.08	Ontario	Ontario
CA.09	Prince Edward Island	Prince Edward Island
CA.10	Quebec	Quebec
CA.11	Saskatchewan	Saskatchewan
CA.12	Yukon	Yukon
CA.05	Newfoundland and Labrador	Newfoundland and Labrador
CD.12	South Kivu	South Kivu
CD.05	Katanga	Katanga
CD.11	Nord Kivu	Nord Kivu
CD.10	Maniema	Maniema
CD.04	Kasaï-Oriental	Kasai-Oriental
CD.03	Kasaï-Occidental	Kasai-Occidental
CD.09	Eastern Province	Eastern Province
CD.02	Équateur	Equateur
CD.06	Kinshasa	Kinshasa
CD.08	Bas-Congo	Bas-Congo
CD.01	Bandundu	Bandundu
CF.14	Vakaga	Vakaga
CF.11	Ouaka	Ouaka
CF.08	Mbomou	Mbomou
CF.05	Haut-Mbomou	Haut-Mbomou
CF.03	Haute-Kotto	Haute-Kotto
CF.02	Basse-Kotto	Basse-Kotto
CF.01	Bamingui-Bangoran	Bamingui-Bangoran
CF.16	Sangha-Mbaéré	Sangha-Mbaere
CF.13	Ouham-Pendé	Ouham-Pende
CF.12	Ouham	Ouham
CF.17	Ombella-Mpoko	Ombella-Mpoko
CF.09	Nana-Mambéré	Nana-Mambere
CF.07	Lobaye	Lobaye
CF.06	Kémo	Kemo
CF.04	Mambéré-Kadéï	Mambere-Kadei
CF.15	Nana-Grébizi	Nana-Grebizi
CF.18	Bangui	Bangui
CG.10	Sangha	Sangha
CG.11	Pool	Pool
CG.08	Plateaux	Plateaux
CG.07	Niari	Niari
CG.06	Likouala	Likouala
CG.05	Lékoumou	Lekoumou
CG.04	Kouilou	Kouilou
CG.13	Cuvette	Cuvette
CG.01	Bouenza	Bouenza
CG.12	Brazzaville	Brazzaville
CG.14	Cuvette-Ouest	Cuvette-Ouest
CG.7280295	Pointe-Noire	Pointe-Noire
CH.ZH	Zurich	Zurich
CH.ZG	Zug	Zug
CH.VD	Vaud	Vaud
CH.VS	Valais	Valais
CH.UR	Uri	Uri
CH.TI	Ticino	Ticino
CH.TG	Thurgau	Thurgau
CH.SO	Solothurn	Solothurn
CH.SZ	Schwyz	Schwyz
CH.SH	Schaffhausen	Schaffhausen
CH.SG	Saint Gallen	Saint Gallen
CH.OW	Obwalden	Obwalden
CH.NW	Nidwalden	Nidwalden
CH.NE	Neuchâtel	Neuchatel
CH.LU	Lucerne	Lucerne
CH.JU	Jura	Jura
CH.GR	Grisons	Grisons
CH.GL	Glarus	Glarus
CH.GE	Geneva	Geneva
CH.FR	Fribourg	Fribourg
CH.BE	Bern	Bern
CH.BS	Basel-City	Basel-City
CH.BL	Basel-Landschaft	Basel-Landschaft
CH.AR	Appenzell Ausserrhoden	Appenzell Ausserrhoden
CH.AI	Appenzell Innerrhoden	Appenzell Innerrhoden
CH.AG	Aargau	Aargau
CI.82	Lagunes	Lagunes
CI.89	Sud-Comoé	Sud-Comoe
CI.74	Agnéby	Agneby
CI.80	Haut-Sassandra	Haut-Sassandra
CI.87	Savanes	Savanes
CI.90	Vallée du Bandama	Vallee du Bandama
CI.85	Moyen-Comoé	Moyen-Comoe
CI.78	Dix-Huit Montagnes	Dix-Huit Montagnes
CI.81	Lacs	Lacs
CI.92	Zanzan	Zanzan
CI.76	Bas-Sassandra	Bas-Sassandra
CI.91	Worodougou	Worodougou
CI.77	Denguélé	Denguele
CI.88	Sud-Bandama	Sud-Bandama
CI.79	Fromager	Fromager
CI.86	Nʼzi-Comoé	N'zi-Comoe
CI.83	Marahoué	Marahoue
CI.84	Moyen-Cavally	Moyen-Cavally
CI.75	Bafing	Bafing
CL.01	Valparaíso	Valparaiso
CL.15	Tarapacá	Tarapaca
CL.12	Santiago Metropolitan	Santiago Metropolitan
CL.11	Maule	Maule
CL.14	Los Lagos	Los Lagos
CL.08	O'Higgins	O'Higgins
CL.07	Coquimbo	Coquimbo
CL.06	Biobío	Biobio
CL.05	Atacama	Atacama
CL.04	Araucanía	Araucania
CL.03	Antofagasta	Antofagasta
CL.02	Aisén	Aisen
CL.10	Magallanes	Magallanes
CL.16	Arica y Parinacota	Arica y Parinacota
CL.17	Los Ríos	Los Rios
CM.09	South-West Province	South-West Province
CM.14	South Province	South Province
CM.08	West	West
CM.07	North-West Province	North-West Province
CM.13	North Province	North Province
CM.05	Littoral	Littoral
CM.12	Far North	Far North
CM.04	East	East
CM.11	Centre	Centre
CM.10	Adamaoua	Adamaoua
CN.14	Tibet Autonomous Region	Tibet Autonomous Region
CN.06	Qinghai Sheng	Qinghai Sheng
CN.13	Xinjiang Uygur Zizhiqu	Xinjiang Uygur Zizhiqu
CN.02	Zhejiang Sheng	Zhejiang Sheng
CN.29	Yunnan	Yunnan
CN.28	Tianjin Shi	Tianjin Shi
CN.32	Sichuan	Sichuan
CN.24	Shanxi Sheng	Shanxi Sheng
CN.23	Shanghai Shi	Shanghai Shi
CN.25	Shandong Sheng	Shandong Sheng
CN.26	Shaanxi	Shaanxi
CN.21	Ningxia Huizu Zizhiqu	Ningxia Huizu Zizhiqu
CN.03	Jiangxi Sheng	Jiangxi Sheng
CN.04	Jiangsu Sheng	Jiangsu Sheng
CN.11	Hunan	Hunan
CN.12	Hubei	Hubei
CN.09	Henan Sheng	Henan Sheng
CN.10	Hebei	Hebei
CN.31	Hainan	Hainan
CN.18	Guizhou Sheng	Guizhou Sheng
CN.16	Guangxi Zhuangzu Zizhiqu	Guangxi Zhuangzu Zizhiqu
CN.30	Guangdong	Guangdong
CN.15	Gansu Sheng	Gansu Sheng
CN.07	Fujian	Fujian
CN.33	Chongqing Shi	Chongqing Shi
CN.01	Anhui Sheng	Anhui Sheng
CN.20	Inner Mongolia	Inner Mongolia
CN.19	Liaoning	Liaoning
CN.05	Jilin Sheng	Jilin Sheng
CN.08	Heilongjiang Sheng	Heilongjiang Sheng
CN.22	Beijing	Beijing
CO.31	Vichada	Vichada
CO.30	Vaupés	Vaupes
CO.29	Valle del Cauca	Valle del Cauca
CO.28	Tolima	Tolima
CO.27	Sucre	Sucre
CO.26	Santander	Santander
CO.25	Archipiélago de San Andrés, Providencia y Santa Catalina	Archipielago de San Andres, Providencia y Santa Catalina
CO.24	Risaralda	Risaralda
CO.23	Quindío	Quindio
CO.22	Putumayo	Putumayo
CO.21	Norte de Santander	Norte de Santander
CO.20	Nariño	Narino
CO.19	Meta	Meta
CO.38	Magdalena	Magdalena
CO.17	La Guajira	La Guajira
CO.16	Huila	Huila
CO.14	Guaviare	Guaviare
CO.15	Guainía	Guainia
CO.33	Cundinamarca	Cundinamarca
CO.12	Córdoba	Cordoba
CO.11	Chocó	Choco
CO.10	Cesar	Cesar
CO.09	Cauca	Cauca
CO.32	Casanare	Casanare
CO.08	Caquetá	Caqueta
CO.37	Caldas	Caldas
CO.36	Boyacá	Boyaca
CO.35	Bolívar	Bolivar
CO.34	Bogota D.C.	Bogota D.C.
CO.04	Atlántico	Atlantico
CO.03	Arauca	Arauca
CO.02	Antioquia	Antioquia
CO.01	Amazonas	Amazonas
CR.08	San José	San Jose
CR.07	Puntarenas	Puntarenas
CR.06	Limón	Limon
CR.04	Heredia	Heredia
CR.03	Guanacaste	Guanacaste
CR.02	Cartago	Cartago
CR.01	Alajuela	Alajuela
CU.16	Villa Clara	Villa Clara
CU.15	Santiago de Cuba	Santiago de Cuba
CU.14	Sancti Spíritus	Sancti Spiritus
CU.01	Pinar del Río	Pinar del Rio
CU.03	Matanzas	Matanzas
CU.13	Las Tunas	Las Tunas
CU.04	Isla de la Juventud	Isla de la Juventud
CU.12	Holguín	Holguin
CU.10	Guantánamo	Guantanamo
CU.09	Granma	Granma
CU.02	La Habana	La Habana
CU.08	Cienfuegos	Cienfuegos
CU.07	Ciego de Ávila	Ciego de Avila
CU.05	Camagüey	Camaguey
CU.AR	Artemisa	Artemisa
CU.MA	Mayabeque	Mayabeque
CV.20	Tarrafal	Tarrafal
CV.11	São Vicente	Sao Vicente
CV.15	Santa Catarina	Santa Catarina
CV.08	Sal	Sal
CV.07	Ribeira Grande	Ribeira Grande
CV.14	Praia	Praia
CV.05	Paul	Paul
CV.04	Maio	Maio
CV.02	Brava	Brava
CV.01	Boa Vista	Boa Vista
CV.13	Mosteiros	Mosteiros
CV.16	Santa Cruz	Santa Cruz
CV.17	São Domingos	Sao Domingos
CV.18	São Filipe	Sao Filipe
CV.19	São Miguel	Sao Miguel
CV.21	Porto Novo	Porto Novo
CV.22	Ribeira Brava	Ribeira Brava
CV.24	Santa Catarina do Fogo	Santa Catarina do Fogo
CV.26	São Salvador do Mundo	Sao Salvador do Mundo
CV.27	Tarrafal de São Nicolau	Tarrafal de Sao Nicolau
CV.25	São Lourenço dos Órgãos	Sao Lourenco dos Orgaos
CV.23	Ribeira Grande de Santiago	Ribeira Grande de Santiago
CY.06	Pafos	Pafos
CY.04	Lefkosia	Lefkosia
CY.05	Limassol	Limassol
CY.03	Larnaka	Larnaka
CY.02	Keryneia	Keryneia
CY.01	Ammochostos	Ammochostos
CZ.52	Praha	Praha
CZ.78	South Moravian	South Moravian
CZ.79	Jihočeský	Jihocesky
CZ.80	Vysočina	Vysocina
CZ.81	Karlovarský	Karlovarsky
CZ.82	Královéhradecký	Kralovehradecky
CZ.83	Liberecký	Liberecky
CZ.84	Olomoucký	Olomoucky
CZ.85	Moravskoslezský	Moravskoslezsky
CZ.86	Pardubický	Pardubicky
CZ.87	Plzeňský	Plzensky
CZ.88	Central Bohemia	Central Bohemia
CZ.89	Ústecký	Ustecky
CZ.90	Zlín	Zlin
DE.15	Thuringia	Thuringia
DE.10	Schleswig-Holstein	Schleswig-Holstein
DE.14	Saxony-Anhalt	Saxony-Anhalt
DE.13	Saxony	Saxony
DE.09	Saarland	Saarland
DE.08	Rheinland-Pfalz	Rheinland-Pfalz
DE.07	North Rhine-Westphalia	North Rhine-Westphalia
DE.06	Lower Saxony	Lower Saxony
DE.12	Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
DE.05	Hesse	Hesse
DE.04	Hamburg	Hamburg
DE.03	Bremen	Bremen
DE.11	Brandenburg	Brandenburg
DE.16	Berlin	Berlin
DE.02	Bavaria	Bavaria
DE.01	Baden-Württemberg	Baden-Wuerttemberg
DJ.05	Tadjourah	Tadjourah
DJ.04	Obock	Obock
DJ.07	Djibouti	Djibouti
DJ.06	Dikhil	Dikhil
DJ.01	Ali Sabieh	Ali Sabieh
DJ.08	Arta	Arta
DK.17	Capital Region	Capital Region
DK.18	Central Jutland	Central Jutland
DK.19	North Denmark	North Denmark
DK.20	Zealand	Zealand
DK.21	South Denmark	South Denmark
DM.11	Saint Peter	Saint Peter
DM.10	Saint Paul	Saint Paul
DM.09	Saint Patrick	Saint Patrick
DM.08	Saint Mark	Saint Mark
DM.07	Saint Luke	Saint Luke
DM.06	Saint Joseph	Saint Joseph
